"Arma";"Calibre";"nome da munição";"dano(alcance)"
"VSS";"9x39mm";"7N9";"56(37) | 39(40)"
"VSS";"9x39mm";"SP5";"64(37) | 45(40)"
"VSS";"9x39mm";"SP6";"53(37) | 37(40)"
"ZC807";"7.62x39mm";"AP";"46(49) | 32(52)"
"ZC807";"7.62x39mm";"BP";"56(49) | 39(52)"
"ZC807";"7.62x39mm";"HP";"79(49) | 55(52)"
"ZC807";"7.62x39mm";"LP";"61(49) | 43(52)"
"ZC807";"7.62x39mm";"PS";"56(49) | 39(52)"
"ZC807";"7.62x39mm";"T45M";"61(49) | 43(52)"
"ZC807";"7.62x39mm";"US";"56(49) | 39(52)"
